Company legal name,Company name,Bud,additional Buds,Regex,additional Regex,Symbols[market_name],OHCHR25/UN/2025-09-26,OHCHR23/UN/2023-06-30,UNSR_OPT/UN/2025-01-01,DBIO/NGO/2024-01-01,TEST/FREEPORTS/2025-01-01
Mega Or Holdings Ltd.,Mega Or Holdings,mega or,,\bmega or\b,,,1,0,0,0,0
Mekorot Water Company Ltd,Mekorot Water Company,mekorot water,mekorot company,\bmekorot water\b,,,1,1,1,0,1
Mercantile Discount Bank Ltd,Mercantile Discount Bank,,mercantile bank,,,,1,1,0,0,0
Merkavim Transportation Technologies Ltd,Merkavim Transportation Technologies,merkavim,,\bmerkavim\b,,,1,1,0,0,0
Mery Building Works Contracting Company Ltd.,Mery Building Works Contracting Company,,,,,,1,0,0,0,0
Metrontario Investments Ltd.,Metrontario Investments,metrontario,,\bmetrontario\b,,,1,0,0,0,0
Microsoft Corp.,Microsoft,,,,,MSFT,0,0,1,0,1
Minrav Group Ltd.,Minrav Group,minrav,,\bminrav\b,,,1,0,0,0,0
"Mishab Housing Construction & Development
Company Ltd.","Mishab Housing Construction & Development
Company",mishab,,\bmishab\b,,,1,0,0,0,0
"Mishkan Eliyahu – Construction and Investment
Company Ltd.","Mishkan Eliyahu Construction and Investment
Company",mishkan eliyahu,,\bmishkan eliyahu\b,,,1,0,0,0,0
Mivne Real Estate Ltd,Mivne Ltd,mivne,,\bmivne\b,,MVNE,1,1,0,1,0
Mizrahi Tefahot Bank Ltd,Mizrahi Tefahot Bank,mizrahi tefahot,tefahot bank,\bmizrahi tefahot\b,,MZTF | MZTFF[2],1,1,0,1,0
Modi’in Ezrachi Group Ltd,Modi’in Ezrachi Group,ezrachi,modi’in,\bezrachi\b,,,1,1,0,0,0
Mordechai Aviv Tassiot Beniyah 1973 Ltd,Mordechai Aviv Tassiot Beniyah,mordechai,aviv tassiot | beniyah,\bmordechai\b,,AVIV,1,1,0,0,0
Motorola Solutions Inc,Motorola Solutions,motorola,,\bmotorola\b,,MSI | MSI[2],1,1,0,1,1
Motorola Solutions Israel Ltd,Motorola Solutions Israel,motorola solutions,,\bmotorola solutions\b,,,1,1,0,1,0
N.O.H. Management and Consulting Ltd.,N.O.H. Management and Consulting,noh management,noh consulting,\bnoh management\b,,,1,0,0,0,0
Naaman Group Ltd,Naaman Group,naaman,,\bnaaman\b,,,1,1,0,0,0
Natoon Group,Natoon Group,natoon,,\bnatoon\b,,,1,1,0,0,0
Netafim Ltd,Netafim,,,,,,0,0,1,1,1
New Way Traffic Ltd.,New Way Traffic,new way,,\bnew way\b,,,1,0,0,0,0
NewMedEnergy-Limited Partnership,NewMedEnergy Limited Partnership,newmedenergy,,\bnewmedenergy\b,,NWMD | DKDRF[2],1,1,1,1,1
